task_id	hash	native_id	name	status	exit	submit	duration	realtime	%cpu	peak_rss	peak_vmem	rchar	wchar
29	92/9018a6	268146	FASTQC (RQ-mem)	COMPLETED	0	2024-06-18 13:51:41.037	28s	25s	97.1%	519 MB	3.3 GB	27.9 MB	3.9 MB
25	2c/76b1a8	268152	FASTQC (PV-mem)	COMPLETED	0	2024-06-18 13:51:41.280	27.8s	24s	68.4%	484.5 MB	3.3 GB	41.5 MB	3.9 MB
24	d5/d37d77	268153	FASTQC (PP-mem)	COMPLETED	0	2024-06-18 13:51:41.319	27.8s	21s	95.1%	454.6 MB	3.3 GB	26.7 MB	3.9 MB
20	f1/0a0309	268155	FASTQC (NS-mem)	COMPLETED	0	2024-06-18 13:51:41.400	27.8s	24s	77.7%	507.2 MB	3.3 GB	40 MB	3.9 MB
33	79/86a787	268157	FASTQC (YA-mem)	COMPLETED	0	2024-06-18 13:51:41.472	27.7s	24s	82.8%	505.9 MB	3.3 GB	35.4 MB	3.9 MB
21	15/e07bad	268159	FASTQC (PM-mem)	COMPLETED	0	2024-06-18 13:51:41.546	27.7s	20s	83.3%	418.3 MB	3.3 GB	24.9 MB	3.9 MB
32	cb/33bf88	268151	FASTQC (VM-mem)	COMPLETED	0	2024-06-18 13:51:41.242	32.9s	28s	71.0%	487.6 MB	3.3 GB	45.4 MB	3.9 MB
27	97/fe2137	268154	FASTQC (PZ-mem)	COMPLETED	0	2024-06-18 13:51:41.358	32.8s	27s	91.9%	528 MB	3.3 GB	35.8 MB	3.9 MB
23	7f/ceb362	268160	BWAMEM (PP-mem)	COMPLETED	0	2024-06-18 13:51:41.579	2m 23s	2m 16s	42.1%	17.2 GB	22.4 GB	16.2 GB	323.3 MB
2	28/fe3b87	268144	MULTIQC	COMPLETED	0	2024-06-18 13:51:40.944	2m 28s	2m 23s	11.1%	94.5 MB	157.2 MB	174.9 MB	31 MB
22	74/e18ba7	268149	BWAMEM (PM-mem)	COMPLETED	0	2024-06-18 13:51:41.168	2m 28s	2m 24s	65.2%	17 GB	21.5 GB	16.2 GB	284 MB
26	51/6e40ce	268158	BWAMEM (PV-mem)	COMPLETED	0	2024-06-18 13:51:41.506	2m 33s	2m 27s	70.8%	17.4 GB	23.1 GB	16.5 GB	603.6 MB
28	0c/48469c	268148	BWAMEM (PZ-mem)	COMPLETED	0	2024-06-18 13:51:41.126	2m 38s	2m 36s	86.3%	17.3 GB	22.7 GB	16.4 GB	489.7 MB
30	08/5bfff7	268150	BWAMEM (RQ-mem)	COMPLETED	0	2024-06-18 13:51:41.208	2m 38s	2m 31s	63.4%	17.2 GB	22.7 GB	16.3 GB	343.6 MB
34	08/721247	268145	BWAMEM (YA-mem)	COMPLETED	0	2024-06-18 13:51:40.987	2m 43s	2m 40s	81.0%	17.3 GB	23.3 GB	16.5 GB	496.3 MB
19	a2/bc668f	268147	BWAMEM (NS-mem)	COMPLETED	0	2024-06-18 13:51:41.082	2m 48s	2m 47s	98.1%	17.5 GB	23 GB	16.6 GB	587.4 MB
31	a8/5cdfa2	268156	BWAMEM (VM-mem)	COMPLETED	0	2024-06-18 13:51:41.436	2m 48s	2m 42s	94.1%	17.4 GB	23.7 GB	16.6 GB	685.8 MB
50	b5/fb0ca6	268161	MERGEB (VM-merge)	COMPLETED	0	2024-06-18 13:54:29.199	4.9s	3.1s	149.2%	7.4 MB	493.1 MB	38.6 MB	36.6 MB
48	ab/c57667	268163	MERGEB (YA-merge)	COMPLETED	0	2024-06-18 13:54:29.717	4.4s	2.9s	143.4%	7.4 MB	493.1 MB	27.6 MB	26.2 MB
46	d3/9a8f33	268164	MERGEB (PZ-merge)	COMPLETED	0	2024-06-18 13:54:29.921	4.2s	2.9s	186.0%	8.2 MB	493.1 MB	29.4 MB	27.8 MB
43	fe/7cb330	268165	MERGEB (PP-merge)	COMPLETED	0	2024-06-18 13:54:30.133	4s	2.5s	136.7%	7.4 MB	493.1 MB	17.5 MB	16.5 MB
44	ba/c82107	268166	MERGEB (PM-merge)	COMPLETED	0	2024-06-18 13:54:30.223	3.9s	1.7s	159.1%	7.4 MB	494 MB	16.2 MB	15.3 MB
47	a3/8dc4b2	268167	MERGEB (RQ-merge)	COMPLETED	0	2024-06-18 13:54:30.422	3.7s	2.2s	153.4%	7.4 MB	492.2 MB	19.3 MB	18.2 MB
45	3d/1681de	268168	MERGEB (PV-merge)	COMPLETED	0	2024-06-18 13:54:30.564	3.6s	2.7s	155.0%	7.4 MB	494 MB	35.1 MB	33.3 MB
49	37/a1d2c2	268162	MERGEB (NS-merge)	COMPLETED	0	2024-06-18 13:54:29.328	9.8s	4.4s	146.2%	8.2 MB	493.1 MB	34 MB	32.3 MB
116	f2/b143fa	268170	SAMTOOLS (YA-SamTools)	COMPLETED	0	2024-06-18 13:54:35.103	19s	14s	82.4%	187.7 MB	930.9 MB	138.4 MB	113.9 MB
115	ed/299eb2	268169	SAMTOOLS (VM-SamTools)	COMPLETED	0	2024-06-18 13:54:35.058	34s	27s	88.6%	227.8 MB	815.4 MB	191.5 MB	156.4 MB
117	aa/d0683c	268171	SAMTOOLS (PZ-SamTools)	COMPLETED	0	2024-06-18 13:54:35.142	39s	13s	89.6%	185.2 MB	930.9 MB	147.7 MB	121.4 MB
118	40/cd2249	268172	SAMTOOLS (PP-SamTools)	COMPLETED	0	2024-06-18 13:54:35.184	48.9s	13s	89.9%	126.1 MB	930.9 MB	85.7 MB	70.6 MB
119	54/ac9b51	268173	SAMTOOLS (PM-SamTools)	COMPLETED	0	2024-06-18 13:54:35.223	53.9s	9s	75.0%	111.1 MB	930.9 MB	81.8 MB	68 MB
120	7a/bb7dd3	268174	SAMTOOLS (RQ-SamTools)	COMPLETED	0	2024-06-18 13:54:35.259	1m 4s	14s	87.3%	135.5 MB	939.4 MB	96.3 MB	79.5 MB
121	49/13325b	268175	SAMTOOLS (PV-SamTools)	COMPLETED	0	2024-06-18 13:54:35.298	1m 14s	15s	90.4%	228.9 MB	942.9 MB	177 MB	145.6 MB
125	ef/cb45d3	268177	QUALIMAP (YA-qualimap)	COMPLETED	0	2024-06-18 13:54:54.146	55s	26.3s	182.8%	2.8 GB	42 GB	23.3 MB	1.7 MB
127	89/11a614	268184	QUALIMAP (VM-qualimap)	COMPLETED	0	2024-06-18 13:55:09.242	44.9s	31.6s	209.6%	7.4 GB	42 GB	28.5 MB	1.7 MB
132	4b/efa694	268185	QUALIMAP (PZ-qualimap)	COMPLETED	0	2024-06-18 13:55:14.141	40s	30.5s	201.1%	3.9 GB	42 GB	24.7 MB	1.7 MB
123	b7/6c76f9	268180	B2C (YA-b2c)	COMPLETED	0	2024-06-18 13:54:54.262	1m 5s	39.4s	74.6%	884.1 MB	1.3 GB	5.9 GB	7.7 MB
130	b5/5c0685	268181	B2C (VM-b2c)	COMPLETED	0	2024-06-18 13:55:09.138	50s	37.9s	75.8%	883.5 MB	1.3 GB	5.9 GB	11.3 MB
133	bf/d837a7	268188	B2C (PZ-b2c)	COMPLETED	0	2024-06-18 13:55:14.250	44.9s	40.9s	63.7%	884.7 MB	1.3 GB	5.9 GB	9 MB
122	7c/519b0f	268176	SAMTOOLS (NS-SamTools)	COMPLETED	0	2024-06-18 13:54:39.146	1m 25s	23s	91.4%	223.7 MB	942.9 MB	173.8 MB	143.8 MB
126	d8/64b48c	268178	STRELKA_ONESAMPLE (YA-strelka)	COMPLETED	0	2024-06-18 13:54:54.184	1m 15s	50s	26.0%	27.1 MB	495.2 MB	63.1 MB	2.1 MB
129	f6/cfd471	268183	STRELKA_ONESAMPLE (VM-strelka)	COMPLETED	0	2024-06-18 13:55:09.208	59.9s	50s	41.3%	55.7 MB	530.3 MB	68.8 MB	2.1 MB
134	30/e55ebc	268187	STRELKA_ONESAMPLE (PZ-strelka)	COMPLETED	0	2024-06-18 13:55:14.213	54.9s	50s	40.9%	55.7 MB	530.3 MB	64.9 MB	2.1 MB
138	9f/a549d4	268190	B2C (PP-b2c)	COMPLETED	0	2024-06-18 13:55:24.172	45s	26.6s	64.0%	1.4 GB	1.8 GB	5.9 GB	4.7 MB
137	d9/27a697	268191	QUALIMAP (PP-qualimap)	COMPLETED	0	2024-06-18 13:55:24.249	44.9s	28.8s	211.0%	3.9 GB	42 GB	16.7 MB	1.7 MB
142	d2/7cbe42	268196	B2C (PM-b2c)	COMPLETED	0	2024-06-18 13:55:29.249	40s	24.5s	74.5%	851.7 MB	1.3 GB	5.9 GB	4.5 MB
144	b7/7635e8	268197	QUALIMAP (RQ-qualimap)	COMPLETED	0	2024-06-18 13:55:39.146	30.1s	25.5s	216.2%	5.2 GB	42 GB	18.6 MB	1.7 MB
143	49/6d8bec	268199	B2C (RQ-b2c)	COMPLETED	0	2024-06-18 13:55:39.218	30s	24.8s	72.8%	930.9 MB	1.4 GB	5.9 GB	5.5 MB
139	28/4addb6	268195	QUALIMAP (PM-qualimap)	COMPLETED	0	2024-06-18 13:55:29.214	44.9s	29.2s	213.2%	2.3 GB	42 GB	17.1 MB	1.7 MB
