Sample	QualiMap_mqc_generalstats_qualimap_avg_gc	QualiMap_mqc_generalstats_qualimap_median_insert_size	QualiMap_mqc_generalstats_qualimap_mqc_1_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_5_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_10_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_30_x_pc	QualiMap_mqc_generalstats_qualimap_mqc_50_x_pc	QualiMap_mqc_generalstats_qualimap_median_coverage	QualiMap_mqc_generalstats_qualimap_mean_coverage	QualiMap_mqc_generalstats_qualimap_general_error_rate	QualiMap_mqc_generalstats_qualimap_percentage_aligned	QualiMap_mqc_generalstats_qualimap_mapped_reads	QualiMap_mqc_generalstats_qualimap_total_reads	Samtools: flagstat_mqc_generalstats_samtools_flagstat_flagstat_total_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_1	Samtools: flagstat_mqc_generalstats_samtools_flagstat_mapped_passed_pct_1	FastQC_mqc_generalstats_fastqc_percent_duplicates	FastQC_mqc_generalstats_fastqc_percent_gc	FastQC_mqc_generalstats_fastqc_avg_sequence_length	FastQC_mqc_generalstats_fastqc_median_sequence_length	FastQC_mqc_generalstats_fastqc_percent_fails	FastQC_mqc_generalstats_fastqc_total_sequences
17														0.38276	0.375766	98.17						
17.qualimap	38.84773178442761	98	100.0	100.0	100.0	100.0	100.0	1075														
17.sort									1190.2282	0.26	98.17274532344028	0.375766	0.38276									
17_S1.R1																	72.28756727211571	39.0	102.75427283047426	102	36.36363636363637	0.190272
17_S1.R2																	71.42038765556677	40.0	105.05068533467878	102	36.36363636363637	0.190272
18														0.029332999999999998	0.026038	88.77						
18.qualimap	40.03995621237	96	94.32244242099625	90.97036243527941	88.76986252454918	72.58525263345831	54.97232637029102	54														
18.sort									80.0204	0.2	88.76691780588416	0.026038	0.029332999999999998									
18_S2.R1																	75.6454270804724	42.0	97.88471573743477	97	36.36363636363637	0.014563999999999999
18_S2.R2																	72.49382037901675	43.0	99.81248283438616	97	36.36363636363637	0.014563999999999999
20														0.8066479999999999	0.801441	99.35						
20.qualimap	38.120258526025154	102	100.0	100.0	100.0	100.0	100.0	2455														
20.sort									2783.3319	0.16999999999999998	99.35448919479128	0.801441	0.8066479999999999									
20_S3.R1																	76.88971375401455	38.0	106.28227896227075	102	18.181818181818183	0.399796
20_S3.R2																	76.13307786971356	39.0	107.84055118110236	107	18.181818181818183	0.399796
21														0.489272	0.486363	99.41						
21.qualimap	38.1356021823251	102	100.0	100.0	100.0	100.0	100.0	1586														
21.sort									1816.6367	0.18	99.40544318906457	0.486363	0.489272									
21_S4.R1																	81.5172078897444	38.0	107.36402207416491	107	18.181818181818183	0.242999
21_S4.R2																	80.5624714504998	38.0	108.55896526323154	107	18.181818181818183	0.242999
22														0.44078999999999996	0.438552	99.49						
22.qualimap	37.883528757707474	103	100.0	100.0	100.0	100.0	100.0	1514														
22.sort									1726.8985	0.16999999999999998	99.4922752331042	0.438552	0.44078999999999996									
22_S5.R1																	84.86534131649015	38.0	107.08032937372408	107	18.181818181818183	0.218961
22_S5.R2																	84.12091651024612	38.0	108.74198144875115	107	18.181818181818183	0.218961
23														0.290935	0.286084	98.33						
23.qualimap	37.8933922016073	102	100.0	100.0	100.0	100.0	100.0	767														
23.sort									879.3704	0.22	98.33261725127606	0.286084	0.290935									
23_S6.R1																	68.37038989139631	38.0	104.12748796759921	102	36.36363636363637	0.144194
23_S6.R2																	67.4965671248457	39.0	105.67311399919552	102	36.36363636363637	0.144194
24														0.4261	0.423465	99.38						
24.qualimap	38.103435459034664	103	100.0	100.0	100.0	100.0	100.0	1534														
24.sort									1644.5646	0.21	99.38160056324806	0.423465	0.4261									
24_S7.R1																	83.52074575376552	38.0	107.11388485682508	107	18.181818181818183	0.212188
24_S7.R2																	82.9976247478651	38.0	107.95644899805832	107	18.181818181818183	0.212188
25														0.318641	0.317198	99.55						
25.qualimap	37.828343248836006	104	100.0	100.0	100.0	100.0	100.0	1210														
25.sort									1350.4519	0.16999999999999998	99.54713925703221	0.317198	0.318641									
25_S8.R1																	90.3462332073424	37.0	107.59958858383236	107	18.181818181818183	0.15847699999999998
25_S8.R2																	89.36564927402715	38.0	109.52702915880538	107	18.181818181818183	0.15847699999999998
26														0.384829	0.38194999999999996	99.25						
26.qualimap	38.20096173702688	102	100.0	100.0	100.0	100.0	100.0	1307														
26.sort									1480.6033	0.22999999999999998	99.25187550834266	0.38194999999999996	0.384829									
26_S9.R1																	84.03668574771237	38.0	106.76905319015586	102	18.181818181818183	0.191464
26_S9.R2																	83.2824969707099	38.0	106.93765929887603	102	18.181818181818183	0.191464
27														0.175947	0.174986	99.45						
27.qualimap	38.00357325165902	103	100.0	100.0	100.0	100.0	100.0	602														
27.sort									683.9118	0.22999999999999998	99.45381279589877	0.174986	0.175947									
27_S10.R1																	83.67939246547056	38.0	106.87583168907447	107	18.181818181818183	0.087172
27_S10.R2																	83.00256963245079	38.0	108.2990639196072	107	18.181818181818183	0.087172
28														0.385801	0.38369	99.45						
28.qualimap	38.04255499392879	103	100.0	100.0	100.0	100.0	100.0	1354														
28.sort									1545.7796	0.18	99.45282671636414	0.38369	0.385801									
28_S11.R1																	86.6128233853529	38.0	107.07217778704114	107	18.181818181818183	0.191915
28_S11.R2																	85.69731391501446	38.0	108.63218612406534	107	18.181818181818183	0.191915
29														0.5300159999999999	0.528435	99.7						
29.qualimap	38.0308819220627	102	100.0	100.0	100.0	100.0	100.0	1978														
29.sort									2235.7022	0.21	99.70170711827568	0.528435	0.5300159999999999									
29_S12.R1																	91.53705990881784	38.0	107.04466096396932	102	18.181818181818183	0.262332
29_S12.R2																	90.7639937178842	38.0	108.62244407849595	107	18.181818181818183	0.262332
30														0.515743	0.513196	99.51						
30.qualimap	37.93297343986182	103	100.0	100.0	100.0	100.0	100.0	1872														
30.sort									2020.7513	0.18	99.50614938060235	0.513196	0.515743									
30_S13.R1																	85.04898037271155	38.0	107.1083893285648	107	18.181818181818183	0.256123
30_S13.R2																	84.12950027916274	38.0	109.20726369752033	107	18.181818181818183	0.256123
31														0.45194199999999995	0.4497	99.5						
31.qualimap	38.01804939114602	103	100.0	100.0	100.0	100.0	100.0	1682														
31.sort									1918.6348	0.22	99.50391864442783	0.4497	0.45194199999999995									
31_S14.R1																	91.06125150474634	38.0	107.99656629101683	107	18.181818181818183	0.225121
31_S14.R2																	90.22881028424713	38.0	109.25625330377886	107	18.181818181818183	0.225121
32														0.716671	0.711849	99.33						
32.qualimap	37.95832975046003	103	100.0	100.0	100.0	100.0	100.0	2350														
32.sort									2540.2282	0.2	99.32716685899109	0.711849	0.716671									
32_S15.R1																	78.76022983522469	38.0	106.11476559002959	102	18.181818181818183	0.355211
32_S15.R2																	78.00912696960398	38.0	107.73959139778891	107	18.181818181818183	0.355211
33														0.662957	0.657519	99.18						
33.qualimap	37.85532126740433	103	100.0	100.0	100.0	100.0	99.99107302267453	2462														
33.sort									2720.2861	0.25	99.17973563896301	0.657519	0.662957									
33_S16.R1																	89.31168575708514	38.0	106.66378973808047	107	18.181818181818183	0.330445
33_S16.R2																	88.3560047814311	38.0	108.1570397494288	107	18.181818181818183	0.330445
34														0.626845	0.624111	99.56						
34.qualimap	37.869128512996426	103	100.0	100.0	100.0	100.0	99.98660953401178	2356														
34.sort									2649.188	0.26	99.56384752211471	0.624111	0.626845									
34_S17.R1																	90.90533331197231	37.0	106.81821560742722	107	18.181818181818183	0.312095
34_S17.R2																	90.07001073391115	38.0	108.8311219340265	107	18.181818181818183	0.312095
35														0.440787	0.437337	99.22						
35.qualimap	37.9880836688417	103	100.0	100.0	100.0	100.0	100.0	1683														
35.sort									1888.9243	0.22	99.21730904042089	0.437337	0.440787									
35_S18.R1																	92.76509187546074	38.0	107.02500523312432	102	18.181818181818183	0.21975399999999998
35_S18.R2																	91.73166358746599	38.0	108.69182358455363	107	18.181818181818183	0.21975399999999998
36														0.531778	0.530582	99.78						
36.qualimap	37.70987351701148	103	100.0	100.0	100.0	100.0	100.0	2046														
36.sort									2226.77	0.16	99.77509411822226	0.530582	0.531778									
36_S19.R1																	90.39117511363894	37.0	107.43330282792682	107	18.181818181818183	0.264434
36_S19.R2																	89.55278065604271	38.0	108.84545860214646	107	18.181818181818183	0.264434
37														0.300035	0.299195	99.72						
37.qualimap	37.72327089337177	104	100.0	100.0	100.0	100.0	100.0	1106														
37.sort									1211.7959	0.19	99.720032662856	0.299195	0.300035									
